id_domicilio,id_pessoa,trimestre_num,numero_entrevistas_pessoa,peso_pessoa,capital,situacao_urbana_rural,tipo_area,peso_amostral,sexo,idade,cor_raca,nivel_instrucao,numero_trabalhos,area_trabalho,grupo_atividade,grupo_ocupacao,rendimento_habitual,horas_habituais,target_informal
250032961-11-11,250032961-11-11-01,1,4,0.25,1,1,1,331.33318204,1,39,1,6,1,,05,08,3000.0,36,1
250032961-12-11,250032961-12-11-02,1,4,0.25,1,1,1,319.96189945,1,57,1,5,1,2,08,03,12000.0,30,0
250032961-12-11,250032961-12-11-03,1,4,0.25,1,1,1,319.96189945,1,31,1,7,1,,05,08,2000.0,30,1
250032961-12-11,250032961-12-11-04,1,2,0.5,1,1,1,319.96189945,1,26,1,7,1,2,09,02,4000.0,40,0
250032961-12-11,250032961-12-11-06,1,2,0.5,1,1,1,319.96189945,2,26,4,6,1,,04,05,2000.0,30,1
250032961-13-11,250032961-13-11-01,1,4,0.25,1,1,1,285.64895789,2,62,4,7,1,2,08,03,10000.0,30,0
250032961-13-11,250032961-13-11-03,1,1,1.0,1,1,1,285.64895789,1,38,1,7,1,,07,04,2000.0,40,1
250033517-01-11,250033517-01-11-01,1,1,1.0,1,1,1,202.58489755,1,45,1,5,1,,10,07,1412.0,44,0
250033517-02-11,250033517-02-11-02,1,2,0.5,1,1,1,238.5295898,1,21,4,5,1,,10,04,1412.0,40,1
250033517-05-11,250033517-05-11-02,1,2,0.5,1,1,1,162.19126036,1,53,4,2,1,,02,07,1530.0,40,0
250033517-06-11,250033517-06-11-01,1,2,0.5,1,1,1,144.02952449,2,66,4,5,1,2,09,03,2500.0,36,0
250033517-08-11,250033517-08-11-01,1,2,0.5,1,1,1,217.33007961,1,46,1,5,1,,10,07,2000.0,44,1
250033517-09-11,250033517-09-11-01,1,2,0.5,1,1,1,185.34179211,2,36,1,7,1,3,09,02,6996.0,30,0
250033517-09-11,250033517-09-11-02,1,2,0.5,1,1,1,185.34179211,1,50,1,3,1,,04,05,1200.0,72,1
250033517-10-11,250033517-10-11-02,1,2,0.5,1,1,1,168.37413912,1,49,4,7,2,,10,03,3500.0,36,1
250033517-11-11,250033517-11-11-01,1,2,0.5,1,1,1,192.85828354,1,59,2,2,1,,04,08,1412.0,40,1
250033517-11-11,250033517-11-11-03,1,1,1.0,1,1,1,192.85828354,1,23,2,5,1,,06,09,1412.0,40,1
250033517-12-11,250033517-12-11-01,1,2,0.5,1,1,1,178.57803823,2,51,4,5,1,,02,07,1500.0,42,1
250033517-12-11,250033517-12-11-02,1,2,0.5,1,1,1,178.57803823,1,51,1,6,1,2,08,04,3500.0,40,0
250033517-12-11,250033517-12-11-03,1,2,0.5,1,1,1,178.57803823,2,21,1,5,1,,09,05,1412.0,20,0
250033517-14-11,250033517-14-11-01,1,2,0.5,1,1,1,203.42702863,2,27,4,5,1,,06,05,2500.0,24,0
250033517-14-11,250033517-14-11-03,1,2,0.5,1,1,1,203.42702863,2,31,1,4,1,,11,09,700.0,4,1
250033544-03-10,250033544-03-10-01,1,1,1.0,0,2,4,264.16894189,1,68,4,1,1,,01,06,300.0,40,1
250033544-04-10,250033544-04-10-01,1,1,1.0,0,2,4,388.52857981,1,46,4,2,1,,01,09,720.0,30,1
250033544-05-10,250033544-05-10-01,1,1,1.0,0,2,4,427.7377029,2,19,4,3,1,,11,05,700.0,48,1
